# M=14, N=20, Steps=50, N2=3
# Crop IDs: {1: 'огурец', 2: 'помидор', 3: 'перцы', 4: 'укроп или чеснок или горчица', 5: 'фасоль', 6: 'капуста', 7: 'хрен', 8: 'табак или кориандр(кинза)'}
# Mcrops: [[1, 3, 5], [1, 2, 4], [1, 3, 5], [1, 2, 5], [1, 3, 7], [1, 2, 7], [1, 8, 7], [1, 8, 5], [1, 8, 4], [1, 5, 4], [1, 5, 6], [1, 6, 4], [1, 3, 6], [1, 2, 6]]
# T: [3 3 3 3 3 3 3 3 3 3 3 3 3 3]
# Unique solutions (yearly optimization): 53
# Format: m1:fi1 m2:fi2 m3:fi3 ... ; yearly_error
#==================================================
1:2 5:2 12:0 13:2 9:0 4:1 0:1 5:1 2:0 3:0 1:0 12:1 1:2 12:2 13:1 1:1 0:2 5:0 13:0 1:1 ; 0.0511833333
1:2 5:2 12:0 13:2 9:0 0:2 0:1 5:1 2:0 3:0 1:0 12:1 1:2 12:2 13:1 1:1 0:2 5:0 13:0 1:1 ; 0.0484333333
11:1 0:0 13:1 5:2 0:2 12:1 12:2 0:1 1:0 1:1 0:2 3:1 4:0 5:1 5:2 1:2 1:2 13:0 1:0 13:0 ; 0.0511833333
1:0 0:0 1:1 4:2 0:0 1:2 3:1 1:0 13:1 13:2 4:0 2:2 4:1 1:2 12:1 13:0 1:1 0:1 13:0 3:2 ; 0.0351833333
1:0 12:2 1:1 4:2 0:0 1:2 3:1 1:0 13:1 13:2 4:0 2:2 4:1 1:2 12:1 13:0 1:1 0:1 13:0 3:2 ; 0.0351833333
1:1 4:0 1:0 0:1 1:1 0:0 1:0 0:0 1:2 13:0 13:2 0:1 1:2 13:0 5:1 5:2 0:2 2:2 13:1 12:2 ; 0.0351833333
1:1 4:0 1:0 0:1 1:1 12:1 1:0 0:0 1:2 13:0 13:2 0:1 1:2 13:0 5:1 5:2 0:2 2:2 13:1 12:2 ; 0.0351833333
1:2 12:2 1:1 3:2 4:0 1:0 3:2 11:1 12:0 12:1 3:0 3:0 3:1 12:0 13:1 3:1 1:0 4:1 1:2 4:2 ; 0.0484333333
13:0 1:1 3:0 1:0 1:0 3:1 0:0 5:1 0:1 0:2 11:2 1:1 12:1 12:2 4:0 13:2 1:2 12:1 5:2 3:2 ; 0.0484333333
1:1 1:1 0:0 3:1 5:0 0:2 12:1 0:2 1:0 1:2 12:1 5:1 13:2 0:0 0:1 1:0 1:2 13:0 5:2 12:2 ; 0.0351833333
1:0 4:0 3:2 12:2 3:2 0:1 1:2 12:2 1:0 0:0 12:1 1:2 8:1 13:0 3:1 13:1 5:1 13:0 1:1 4:2 ; 0.0489333333
5:2 0:1 0:1 1:2 3:2 1:0 12:2 12:2 13:1 1:1 1:1 1:0 5:1 2:2 5:0 12:1 12:0 3:0 1:2 0:0 ; 0.0351833333
0:0 12:0 9:2 1:1 5:1 13:0 1:0 5:0 1:2 12:2 1:1 0:2 1:0 3:2 5:2 3:1 12:1 12:1 0:1 13:2 ; 0.0484333333
12:2 3:1 5:2 11:0 0:2 0:2 3:0 13:2 4:1 5:0 1:2 0:1 1:1 13:0 1:1 2:0 1:2 1:0 12:0 13:1 ; 0.0484333333
1:0 4:2 12:0 3:2 2:2 1:1 1:1 1:2 2:0 12:1 1:2 3:0 13:2 4:1 3:1 5:0 13:1 13:0 2:1 8:0 ; 0.0489333333
1:0 1:0 3:0 12:2 13:0 1:1 1:2 4:0 1:1 5:1 3:2 3:2 1:2 13:1 12:2 2:1 0:0 2:1 4:2 12:1 ; 0.0351833333
1:0 3:0 2:1 1:2 12:0 0:1 1:0 11:1 1:2 13:1 2:0 5:0 13:1 5:2 1:1 13:2 12:0 2:2 2:2 5:1 ; 0.0484333333
0:0 13:0 4:0 0:1 3:0 3:1 1:2 12:0 8:2 3:2 1:1 13:2 13:2 1:0 2:2 12:1 5:1 4:2 1:1 1:0 ; 0.0489333333
1:1 1:1 12:2 0:2 13:1 1:2 13:1 0:2 3:0 4:1 12:0 2:0 13:2 13:0 5:2 5:0 1:0 1:2 0:1 9:0 ; 0.0484333333
3:0 1:1 13:0 1:1 9:2 2:2 12:1 1:2 12:0 3:1 3:1 4:1 3:2 13:2 5:0 4:2 13:2 4:0 1:0 11:0 ; 0.0644333333
1:2 1:2 3:1 0:2 3:1 12:1 4:0 1:0 1:1 13:0 1:1 12:1 3:0 4:1 4:2 12:2 3:2 13:2 12:0 1:0 ; 0.0351833333
11:1 3:2 13:2 4:1 3:0 1:1 5:0 13:1 4:2 13:1 3:1 0:0 1:0 12:0 1:2 12:0 1:0 0:1 1:2 0:2 ; 0.0484333333
1:2 0:0 0:0 12:0 1:0 1:2 5:1 3:2 5:0 13:1 1:0 13:0 0:1 0:2 12:1 5:2 1:1 2:1 12:2 1:1 ; 0.0351833333
1:2 12:2 0:0 12:0 1:0 1:2 5:1 3:2 5:0 13:1 1:0 13:0 0:1 0:2 12:1 5:2 1:1 2:1 12:2 1:1 ; 0.0351833333
0:1 1:2 1:0 13:2 0:0 4:1 3:2 1:0 13:1 13:1 4:2 12:2 13:0 1:1 0:1 5:0 1:2 2:2 12:0 1:1 ; 0.0351833333
0:1 3:0 1:1 8:2 5:0 0:0 3:2 13:1 1:2 12:0 13:2 12:0 1:0 5:2 1:1 0:2 5:1 1:0 12:2 2:1 ; 0.0489333333
1:1 4:1 3:1 8:2 1:1 0:2 13:0 1:0 1:2 1:0 2:1 12:0 12:2 13:1 13:2 0:0 0:0 3:2 5:2 5:0 ; 0.0489333333
12:0 1:2 3:0 11:0 4:0 1:0 0:1 1:1 1:2 13:2 2:2 0:1 1:1 13:1 5:1 3:0 3:2 13:0 12:2 4:2 ; 0.0484333333
12:0 3:0 4:1 1:1 13:0 1:2 13:1 4:0 3:2 13:1 0:1 1:2 1:0 0:1 13:2 12:2 1:1 4:2 1:0 0:2 ; 0.0351833333
1:0 1:0 12:0 3:0 2:0 1:2 11:2 12:1 3:2 0:1 1:1 13:2 3:1 4:2 12:2 3:2 12:1 5:0 1:1 5:1 ; 0.0484333333
12:2 9:2 12:2 1:0 1:0 3:1 5:0 1:1 12:1 1:2 5:0 12:0 0:1 5:2 3:2 5:1 2:0 12:0 3:2 1:1 ; 0.0511833333
3:0 12:0 1:1 1:1 5:2 0:1 3:1 3:0 0:2 4:0 12:2 1:2 1:0 1:2 5:1 8:0 0:2 13:0 12:1 13:2 ; 0.0489333333
1:0 13:0 4:0 3:0 1:1 1:0 13:1 0:1 4:1 0:1 1:1 4:2 1:2 13:1 3:2 12:2 0:2 13:2 1:2 0:0 ; 0.0351833333
1:2 1:2 0:2 5:2 12:1 1:0 13:2 0:0 13:1 4:0 5:1 13:0 1:1 1:0 0:2 0:1 1:1 0:1 13:0 12:2 ; 0.0351833333
13:1 0:2 1:1 4:1 2:1 12:2 3:1 0:2 3:0 1:0 4:0 13:2 1:0 12:1 0:0 1:2 1:1 1:2 5:2 13:0 ; 0.0351833333
1:0 0:1 12:2 3:2 1:0 12:1 1:2 1:2 5:0 4:1 13:0 1:1 0:2 12:2 5:2 1:1 0:0 13:1 3:1 0:0 ; 0.0351833333
13:2 5:2 5:0 1:2 13:0 0:1 11:1 0:0 3:1 0:0 1:1 1:0 12:0 1:2 0:2 12:1 13:1 0:2 1:0 5:1 ; 0.0484333333
1:1 4:1 3:1 13:2 1:1 1:2 12:2 1:0 12:1 4:0 4:2 1:0 0:2 3:0 13:0 0:1 13:1 3:2 1:2 12:0 ; 0.0351833333
1:0 1:0 13:0 1:1 12:2 0:0 4:0 1:2 4:2 13:2 3:0 1:1 5:2 0:2 3:1 1:2 0:1 13:1 4:1 12:1 ; 0.0379333333
1:0 1:0 13:0 1:1 12:2 0:0 4:0 1:2 0:2 13:2 3:0 1:1 5:2 0:2 3:1 1:2 0:1 13:1 4:1 12:1 ; 0.0351833333
0:2 13:0 5:0 0:0 1:0 1:2 12:0 2:1 1:1 3:1 3:2 1:1 13:1 1:2 12:1 4:2 13:2 4:1 12:2 1:0 ; 0.0351833333
1:0 0:2 5:0 1:0 12:2 13:0 3:2 3:1 12:1 12:2 1:2 1:1 12:1 0:1 12:0 0:0 5:2 1:2 1:1 5:1 ; 0.0351833333
4:2 3:2 3:1 13:2 12:2 1:0 0:1 1:1 12:1 5:1 5:0 12:1 1:2 1:2 12:0 12:0 0:2 1:0 1:1 3:0 ; 0.0351833333
1:1 1:1 13:1 0:2 5:1 0:2 4:0 1:0 12:1 13:2 13:0 3:0 1:2 1:0 1:2 2:1 12:2 5:2 0:1 0:0 ; 0.0351833333
5:2 13:2 1:0 4:2 12:1 0:1 3:1 13:1 3:2 12:2 5:0 1:1 1:0 12:0 5:1 12:0 3:0 1:2 9:1 9:2 ; 0.0644333333
1:1 1:2 3:2 1:1 12:0 12:2 2:2 4:0 12:1 13:2 3:1 0:1 3:0 4:2 13:0 1:0 11:0 5:1 3:0 1:2 ; 0.0484333333
12:1 3:1 13:2 3:2 0:0 1:1 0:0 1:2 11:0 12:2 1:0 4:2 5:0 1:2 0:2 13:0 0:1 5:1 1:1 13:0 ; 0.0484333333
1:2 5:2 5:1 0:1 4:0 5:2 13:1 3:0 12:0 5:0 1:0 0:0 1:1 1:1 11:2 13:2 2:1 1:0 12:2 2:2 ; 0.0539333333
1:2 3:2 5:1 0:1 12:1 5:2 13:1 3:0 12:0 5:0 1:0 0:0 1:1 1:1 11:2 13:2 2:1 1:0 12:2 2:2 ; 0.0484333333
0:2 5:1 13:2 1:0 1:2 1:1 2:0 5:0 2:2 12:2 1:0 13:0 13:1 2:1 12:1 12:0 1:2 5:2 0:1 1:1 ; 0.0351833333
1:0 0:1 12:1 3:0 1:2 1:1 1:0 13:1 3:1 13:2 4:1 1:2 0:0 13:0 4:0 3:2 1:1 0:2 12:2 4:2 ; 0.0351833333
1:0 3:1 1:0 13:0 12:0 12:2 5:2 4:0 3:1 12:2 3:0 3:2 1:2 1:1 5:2 12:1 9:2 1:1 4:1 12:1 ; 0.0511833333
1:0 3:1 1:0 13:0 12:0 12:2 3:2 4:0 3:1 12:2 3:0 3:2 1:2 1:1 5:2 12:1 9:2 1:1 4:1 12:1 ; 0.0484333333
