# M=14, N=20, Steps=50, N2=3
# Crop IDs: {1: 'огурец', 2: 'помидор', 3: 'перцы', 4: 'укроп или чеснок или горчица', 5: 'фасоль', 6: 'капуста', 7: 'хрен', 8: 'табак или кориандр(кинза)'}
# Unique solutions: 103
# Format: histogram (space-separated) ; error
#==================================================
1 2 2 1 4 2 1 0 0 3 1 0 2 1 ; 0.0649500000
2 6 1 2 3 1 0 0 0 0 0 0 2 3 ; 0.0059777778
0 0 0 2 1 2 2 6 1 0 3 2 0 1 ; 0.1816166667
1 6 0 4 3 1 0 0 0 0 0 0 4 1 ; 0.0059777778
2 0 4 1 0 1 2 1 3 1 3 0 1 1 ; 0.1460333333
1 6 3 1 2 2 0 0 0 0 0 0 2 3 ; 0.0059777778
7 1 2 0 2 3 0 1 0 1 2 1 0 0 ; 0.1330055556
3 6 2 0 1 3 0 0 0 0 0 0 2 3 ; 0.0059777778
1 1 0 0 1 1 0 0 6 1 2 1 2 4 ; 0.1100611111
3 6 0 3 1 3 0 0 0 0 0 0 4 0 ; 0.0068111111
3 6 0 2 1 3 0 0 0 0 0 0 4 1 ; 0.0059777778
2 0 2 3 1 1 0 3 0 5 0 1 0 2 ; 0.1217277778
2 6 2 0 1 3 0 0 0 0 0 0 3 3 ; 0.0068111111
2 6 2 1 1 3 0 0 0 0 0 0 3 2 ; 0.0059777778
1 4 0 2 1 0 2 1 3 3 0 2 0 1 ; 0.1596722222
3 6 0 1 2 2 0 0 0 0 0 0 3 3 ; 0.0068111111
3 6 0 2 2 2 0 0 0 0 0 0 3 2 ; 0.0059777778
0 0 3 0 1 4 1 0 1 2 3 4 0 1 ; 0.1132277778
3 6 1 1 1 3 0 0 0 0 0 0 3 2 ; 0.0059777778
0 2 0 4 0 1 3 1 0 2 0 0 1 6 ; 0.0836722222
1 6 0 4 4 0 0 0 0 0 0 0 3 2 ; 0.0059777778
0 3 2 1 0 0 0 1 1 1 3 2 3 3 ; 0.0873111111
1 6 2 1 2 4 0 0 0 0 0 0 3 1 ; 0.0083666667
1 6 2 2 2 2 0 0 0 0 0 0 3 2 ; 0.0059777778
4 1 1 1 1 1 2 1 1 2 0 1 3 1 ; 0.0975888889
3 6 1 1 3 1 0 0 0 0 0 0 1 4 ; 0.0059777778
2 4 0 1 0 2 2 4 0 0 2 1 2 0 ; 0.0846166667
2 1 2 4 1 0 1 1 2 0 0 4 1 1 ; 0.0786166667
1 6 1 2 2 3 0 0 0 0 0 0 4 1 ; 0.0068944444
1 6 1 3 2 2 0 0 0 0 0 0 4 1 ; 0.0059777778
1 0 0 1 2 3 3 0 1 0 1 5 3 0 ; 0.1167555556
1 6 0 4 3 2 0 0 0 0 0 0 4 0 ; 0.0068944444
1 6 0 4 2 2 0 0 0 0 0 0 5 0 ; 0.0059777778
0 1 1 0 2 4 0 5 0 1 1 3 2 0 ; 0.1023111111
3 5 1 1 2 3 0 0 0 0 0 0 2 3 ; 0.0088111111
3 6 1 1 2 2 0 0 0 0 0 0 2 3 ; 0.0059777778
0 1 0 0 3 3 1 0 2 3 0 3 1 3 ; 0.0933666667
3 5 0 3 2 2 0 0 0 0 0 0 3 2 ; 0.0087277778
0 0 2 2 3 0 1 1 1 2 0 1 2 5 ; 0.0627833333
2 6 2 1 2 2 0 0 0 0 0 0 2 3 ; 0.0059777778
1 0 4 1 3 0 0 0 3 1 1 2 4 0 ; 0.1586722222
2 4 0 4 1 3 0 0 1 0 0 0 4 1 ; 0.0130333333
2 6 0 3 2 2 0 0 0 0 0 0 4 1 ; 0.0059777778
2 2 1 0 1 2 2 1 2 1 2 3 1 0 ; 0.1197555556
0 2 0 1 1 0 1 2 1 2 4 5 1 0 ; 0.2070333333
2 2 1 0 3 0 3 4 2 0 0 0 2 1 ; 0.1298666667
3 6 0 2 3 1 0 0 0 0 0 0 2 3 ; 0.0059777778
1 0 5 3 2 2 0 1 1 1 1 0 2 1 ; 0.1037000000
0 6 2 3 3 1 0 0 0 0 0 0 3 2 ; 0.0059777778
1 2 1 2 1 3 0 0 1 1 0 7 0 1 ; 0.1159222222
2 6 1 2 1 3 0 0 0 0 0 0 4 1 ; 0.0059777778
0 2 0 0 2 1 0 6 2 4 1 0 1 1 ; 0.1586444444
4 5 0 1 3 1 0 0 0 0 0 0 1 5 ; 0.0087277778
4 6 0 1 3 1 0 0 0 0 0 0 1 4 ; 0.0059777778
0 1 1 3 1 1 3 3 2 3 1 0 0 1 ; 0.1357833333
2 5 0 2 3 2 0 0 0 0 0 0 2 4 ; 0.0124500000
0 4 0 0 1 1 5 1 1 3 2 0 2 0 ; 0.1269222222
